Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Augment),Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Rework 3 failed boards,CTET-4611,81386,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 9:07 PM,21/Aug/24 9:09 AM,21/Aug/24 9:16 AM,21/Aug/24 9:09 AM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a36d237,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4609,RCA ALC Component Failure,,,,,,,,,,,,,,,,,,,,,,,2|i078ah:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_68645943_*|*_10000_*:*_1_*:*_320231458_*|*_10001_*:*_1_*:*_0,,,,81384,RCA ALC Component Failure,Done,21/Aug/24 9:09 AM
Measure Impedance on uninstalled components,CTET-4610,81385,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 9:06 PM,20/Aug/24 8:38 PM,21/Aug/24 9:16 AM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5309f5c1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4609,RCA ALC Component Failure,,,,,,,,,,,,,,,,,,,,,,,2|i078oh:r,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,81384,RCA ALC Component Failure,To Do,16/Aug/24 9:06 PM
Investigate ALC Rework and report findings,CTET-4608,81383,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 5:46 PM,16/Aug/24 9:05 PM,21/Aug/24 9:16 AM,16/Aug/24 9:05 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b65e890,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4609,RCA ALC Component Failure,,,,,,,,,,,,,,,,,,,,,,,2|i0785t:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_5035973_*|*_10000_*:*_1_*:*_6880911_*|*_10001_*:*_1_*:*_0,,,,81384,RCA ALC Component Failure,Done,16/Aug/24 9:05 PM
Wire splitter for SDS harness,CTET-4607,81368,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 11:14 AM,20/Aug/24 2:05 PM,21/Aug/24 9:16 AM,20/Aug/24 2:05 PM,16/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21799a21,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i0785l:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_355859125_*|*_10001_*:*_1_*:*_0,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,Done,20/Aug/24 2:05 PM
"Design, Build, Commision, and Validate a Quick Turn Switch Pannel Including Purchasing of Parts",CTET-4606,81360,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 9:46 AM,16/Aug/24 2:13 PM,21/Aug/24 9:16 AM,16/Aug/24 2:13 PM,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c02fb7c,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077ms:i,,,,,3.0,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_16035100_*|*_10001_*:*_1_*:*_0,,,,,,Done,16/Aug/24 2:13 PM
Wire Junction Box For Quick Turn Around Manual Automation With Switches,CTET-4605,81358,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 9:40 AM,16/Aug/24 2:13 PM,21/Aug/24 9:16 AM,16/Aug/24 2:13 PM,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4fef2e95,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077ms:,,,,,2.0,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_16320280_*|*_10000_*:*_1_*:*_57066_*|*_10001_*:*_1_*:*_0,,,,,,Done,16/Aug/24 2:13 PM
Update BMU EOL test harness for 1b units,CTET-4604,81355,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 9:12 AM,20/Aug/24 8:37 PM,21/Aug/24 9:16 AM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26050187,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i078oj:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",In Progress,16/Aug/24 11:16 AM
Update Inverter EOL test harness for 1b units,CTET-4603,81354,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 9:12 AM,20/Aug/24 8:37 PM,21/Aug/24 9:16 AM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1acc42c9,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3052,24-Q2-KR3.4: Inverter EOL Design and Implement Interface Fixture,,,,,,,,,,,,,,,,,,,,,,,2|i078on:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,78478,24-Q2-KR3.4: Inverter EOL Design and Implement Interface Fixture,In Progress,16/Aug/24 11:16 AM
Swap ALC bed for ALK version and adjust fixture height.,CTET-4602,81353,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 9:10 AM,20/Aug/24 8:37 PM,21/Aug/24 9:16 AM,,16/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a16a85e,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i078ol:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,In Progress,20/Aug/24 2:05 PM
Wire Switch for AC power supply and Resistors for ALC Test 4. High Voltage Ramp,CTET-4601,81352,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 8:57 AM,20/Aug/24 8:37 PM,21/Aug/24 9:16 AM,20/Aug/24 8:37 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c9c3b41,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i0782p:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_23521035_*|*_10000_*:*_1_*:*_364079878_*|*_10001_*:*_1_*:*_0,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,20/Aug/24 8:37 PM
Optimize ALC Test Procedure for reduced cycle time,CTET-4600,81351,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 8:55 AM,20/Aug/24 8:37 PM,21/Aug/24 9:16 AM,20/Aug/24 8:37 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@866a3fe,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i0782h:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_387667641_*|*_10000_*:*_1_*:*_43460_*|*_10001_*:*_1_*:*_0,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,20/Aug/24 8:37 PM
Create Batch Scripts for ALC Test 5. Low Power Control,CTET-4599,81350,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 8:53 AM,16/Aug/24 8:54 AM,21/Aug/24 9:16 AM,16/Aug/24 8:54 AM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@762ffd0f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i07829:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_74685_*|*_10001_*:*_1_*:*_0,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,16/Aug/24 8:54 AM
Create Batch Scripts for ALC Test 3. Relay Control,CTET-4598,81349,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 8:52 AM,16/Aug/24 8:53 AM,21/Aug/24 9:16 AM,16/Aug/24 8:53 AM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@559536f8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i07821:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_40939_*|*_10001_*:*_1_*:*_0,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,16/Aug/24 8:53 AM
Generate a Implementation and Build plan for CLS,CTET-4597,81348,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:38 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c5b6ec0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i071zb:f,,,,,5.0,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",In Progress,16/Aug/24 8:45 AM
Validate First Unit For 1.5 S.F. Testing ,CTET-4596,81347,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:37 AM,16/Aug/24 9:44 AM,21/Aug/24 9:16 AM,16/Aug/24 8:45 AM,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3456fd5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i0781l:,,,,,2.0,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_453075_*|*_10001_*:*_1_*:*_0,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",Done,16/Aug/24 8:45 AM
Implement Design Changes into CAD,CTET-4595,81346,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Minor,,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:35 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d0eafd9,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i0781d:,,,,,3.0,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",To Do,16/Aug/24 8:35 AM
Start tesing and validating second thermal burn in,CTET-4594,81345,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:34 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6b81887a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i07815:,,,,,3.0,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",To Do,16/Aug/24 8:34 AM
Generate Base Fuzzy Logic Model in MatLab ,CTET-4592,81343,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Minor,,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:32 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5eaa1df1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i0780p:,,,,,3.0,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",To Do,16/Aug/24 8:32 AM
Generate Validation Test Plan ,CTET-4591,81342,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Trivial,Done,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:31 AM,16/Aug/24 9:44 AM,21/Aug/24 9:16 AM,16/Aug/24 8:45 AM,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c6f4dbb,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i0781t:,,,,,3.0,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_860484_*|*_10001_*:*_1_*:*_0,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",Done,16/Aug/24 8:45 AM
Change Gain Values and Complete Model Based on OL Testing ,CTET-4590,81341,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,16/Aug/24 8:30 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b977f96,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i071zb:d,,,,,5.0,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",In Progress,16/Aug/24 8:44 AM
