Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Get Team Viewer Account,CTET-4474,81142,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,12/Aug/24 9:44 AM,13/Aug/24 12:34 PM,14/Aug/24 8:48 AM,13/Aug/24 12:34 PM,12/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7555c660,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i076zd:,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_96556708_*|*_10001_*:*_1_*:*_0,,,,,Done,13/Aug/24 12:34 PM
Blue Marlin FW Release Testing: August 2024,CTET-4473,81141,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,12/Aug/24 7:51 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,"[R2 FW - Aug 2023 - Core Test Engineering Technology - Confluence (atlassian.net)|https://generacet.atlassian.net/wiki/spaces/CTET/pages/257216823/R2+FW+-+Aug+2023]

[[CTET-4003] Blue Marlin FW Release Testing: August 2024 - JIRA (atlassian.net)|https://neurio.atlassian.net/browse/CTET-4003]",,Seun Osiyemi,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4bd88107,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i076z5:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,In Progress,12/Aug/24 7:52 AM
Voltron Reno testing with new FW Releases ,CTET-4472,81119,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,09/Aug/24 9:45 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,14/Aug/24 12:00 AM,0,Voltron,,,,aaron.zetley,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@10571de2,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i076u9:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,09/Aug/24 9:45 AM
Support CLS boardlevel testers,CTET-4467,81114,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,09/Aug/24 9:35 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e876bd8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i076t5:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,To Do,09/Aug/24 9:35 AM
Support CLS board level testers,CTET-4466,81113,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,09/Aug/24 9:33 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b67b932,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i076sx:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,In Progress,09/Aug/24 9:34 AM
Book Celestica Travel,CTET-4465,81112,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,09/Aug/24 9:30 AM,12/Aug/24 8:07 AM,14/Aug/24 8:48 AM,12/Aug/24 8:07 AM,09/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ba873f4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i076sp:,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_254247040_*|*_10001_*:*_1_*:*_0,,,,,Done,12/Aug/24 8:07 AM
Test Path Selection Code,CTET-4464,81111,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,09/Aug/24 9:29 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ac55a71,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2983,24-Q2-KR8.1: Determine The Effectiveness of the SDS Impedance Tester,,,,,,,,,,,,,,,,,,,,,,,2|i076sh:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,78274,24-Q2-KR8.1: Determine The Effectiveness of the SDS Impedance Tester,To Do,09/Aug/24 9:29 AM
BMU - serial to can 2 - BMUEnable,CTET-4463,81110,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,09/Aug/24 9:28 AM,12/Aug/24 5:07 PM,14/Aug/24 8:48 AM,12/Aug/24 10:59 AM,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d68aaf4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i076zk:i,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_264677747_*|*_10001_*:*_1_*:*_0,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,12/Aug/24 10:59 AM
"Test 3 Source, 7 Sink code",CTET-4462,81109,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,09/Aug/24 9:27 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59f3cad6,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2983,24-Q2-KR8.1: Determine The Effectiveness of the SDS Impedance Tester,,,,,,,,,,,,,,,,,,,,,,,2|i076q5:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,78274,24-Q2-KR8.1: Determine The Effectiveness of the SDS Impedance Tester,To Do,09/Aug/24 9:27 AM
Flashing station build,CTET-4461,81108,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,09/Aug/24 9:25 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Soham Dange,,712020:2b67478a-d210-4a0a-bf27-2e926436841b,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a63da76,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4227,Mechanical fixture complete [PENGUIN-SECUREBOOT],,,,,,,,,,,,,,,,,,,,,,,2|i076s1:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80710,Mechanical fixture complete [PENGUIN-SECUREBOOT],To Do,09/Aug/24 9:25 AM
Build Fixture,CTET-4460,81107,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,09/Aug/24 9:19 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Soham Dange,,712020:2b67478a-d210-4a0a-bf27-2e926436841b,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73a86f3b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4227,Mechanical fixture complete [PENGUIN-SECUREBOOT],,,,,,,,,,,,,,,,,,,,,,,2|i076rt:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80710,Mechanical fixture complete [PENGUIN-SECUREBOOT],In Progress,09/Aug/24 9:19 AM
Review ICT Testing quotes,CTET-4459,81106,Epic,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,09/Aug/24 9:18 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Soham Dange,,712020:2b67478a-d210-4a0a-bf27-2e926436841b,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d77d629,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,ghx-label-1,,,,To Do,,,,,,,dark_grey,,,,,,,,,,CTET-4344,,,,2|i076rl:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80885,Manta ICT Tester,In Progress,12/Aug/24 9:26 AM
Make Flash Station Manta Harness,CTET-4458,81105,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,09/Aug/24 8:58 AM,09/Aug/24 8:59 AM,14/Aug/24 8:48 AM,09/Aug/24 8:59 AM,,0,,,,,Ian Gills,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11e32a67,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i076id:,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_12890_*|*_10001_*:*_1_*:*_0,,,,,Done,09/Aug/24 8:59 AM
"Update Thermal Stress to reflect build, with hardware changes",CTET-4457,81104,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,09/Aug/24 8:49 AM,09/Aug/24 8:52 AM,14/Aug/24 8:48 AM,09/Aug/24 8:52 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@769a7bf3,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i0756n:r,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10547_*:*_1_*:*_2394_*|*_3_*:*_1_*:*_2446_*|*_10000_*:*_1_*:*_122395_*|*_10001_*:*_1_*:*_0,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",Done,09/Aug/24 8:52 AM
Install guides,CTET-4456,81103,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,09/Aug/24 8:25 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2608a78,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i076rd:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,To Do,09/Aug/24 8:25 AM
Design DUT 3D print guides,CTET-4455,81102,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,09/Aug/24 8:25 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@bf275af,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i076qd:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,In Progress,09/Aug/24 8:27 AM
Assemble base plate,CTET-4454,81101,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,09/Aug/24 8:25 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2530802d,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i076qx:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,To Do,09/Aug/24 8:25 AM
Wire pins,CTET-4453,81100,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,09/Aug/24 8:24 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6e0232e8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i076qp:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,To Do,09/Aug/24 8:24 AM
Install pins to moving plate,CTET-4452,81099,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,09/Aug/24 8:24 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d4329b9,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i076qh:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,To Do,09/Aug/24 8:24 AM
Assemble moving plate,CTET-4451,81098,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,09/Aug/24 8:24 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@49f81c7f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i076q9:,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,In Progress,09/Aug/24 8:27 AM
