Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (CTET custom link),Outward issue link (CTET custom link),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Revision),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Help mouting rackmount part,CTET-3816,79965,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,03/Jul/24 1:08 PM,08/Jul/24 2:52 PM,09/Jul/24 3:47 PM,08/Jul/24 2:52 PM,,0,,,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@679bb8c7,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i06z48:zzzzzm,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_438244869_*|*_10001_*:*_1_*:*_0,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",Done,08/Jul/24 2:52 PM
Help mounting panels,CTET-3815,79964,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,03/Jul/24 1:08 PM,09/Jul/24 12:29 PM,09/Jul/24 3:47 PM,09/Jul/24 12:29 PM,,0,,,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27622a6d,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i070dw:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_516073944_*|*_10001_*:*_1_*:*_0,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",Done,09/Jul/24 12:29 PM
Help with HVAC install,CTET-3814,79963,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,03/Jul/24 1:08 PM,05/Jul/24 10:42 AM,09/Jul/24 3:47 PM,05/Jul/24 10:42 AM,,0,,,,,,,dan.saft,,712020:7f94a73c-76ef-4e49-955f-0610691041b5,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@35fe9774,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i070dv:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_164022707_*|*_10001_*:*_1_*:*_0,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",Done,05/Jul/24 10:42 AM
Create new operator account for Manta PCBA tester,CTET-3813,79960,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,03/Jul/24 12:00 PM,08/Jul/24 9:11 AM,09/Jul/24 3:47 PM,08/Jul/24 9:11 AM,,0,,,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@278b68cd,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i070c9:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_421892485_*|*_10001_*:*_1_*:*_0,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,08/Jul/24 9:11 AM
Add Mechanical Steps to ALC Functional Test Plan,CTET-3812,79959,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Minor,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,03/Jul/24 11:52 AM,08/Jul/24 8:33 AM,09/Jul/24 3:47 PM,08/Jul/24 8:33 AM,,0,,,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59732475,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06ymt:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_420023758,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,In Progress,08/Jul/24 8:33 AM
Mount rack mounted equipment in cabinet.,CTET-3806,79952,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,03/Jul/24 11:32 AM,03/Jul/24 11:35 AM,09/Jul/24 3:47 PM,,,0,,,,,,,Rick Sanner,,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26726a3e,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i06zfb:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",To Do,03/Jul/24 11:32 AM
Mount HV panel in cabinet,CTET-3805,79951,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,03/Jul/24 11:31 AM,03/Jul/24 2:54 PM,09/Jul/24 3:47 PM,,,0,,,,,,,Rick Sanner,,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ceb127c,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i06zf9:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",To Do,03/Jul/24 11:31 AM
Mount LV panel in cabinet.,CTET-3804,79950,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,03/Jul/24 11:30 AM,03/Jul/24 11:35 AM,09/Jul/24 3:47 PM,,,0,,,,,,,Rick Sanner,,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@611266f2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i06zf5:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",To Do,03/Jul/24 11:30 AM
troubleshoot radian licensing requirements,CTET-3803,79949,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,03/Jul/24 11:26 AM,05/Jul/24 9:05 AM,09/Jul/24 3:47 PM,05/Jul/24 7:34 AM,,0,,,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e3cd8e5,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,0.0,,,,,,,,,,,,,2|i06ylc:zy,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_158881310,,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,05/Jul/24 9:05 AM
Run Monte Carlo simulation,CTET-3800,79946,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,03/Jul/24 11:24 AM,09/Jul/24 3:46 PM,03/Jul/24 5:56 PM,09/Jul/24 1:05 PM,,0,,,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73f74081,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3794,Run design for capability analysis on Manta's grid input power accuracy test,,,,,,0.0,,,,,,,,,,,,,2|i0709z:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_524449858,,,,,79940,Run design for capability analysis on Manta's grid input power accuracy test,Done,09/Jul/24 3:46 PM
set limits experimentally,CTET-3799,79945,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,03/Jul/24 11:24 AM,09/Jul/24 1:48 PM,09/Jul/24 3:47 PM,05/Jul/24 1:58 PM,,0,,,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@946817c,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06ylc:n,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_182040699,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,09/Jul/24 1:48 PM
perform fault injection,CTET-3797,79943,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,03/Jul/24 11:23 AM,03/Jul/24 11:23 AM,09/Jul/24 3:47 PM,,,0,,,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@405a9def,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06ylc:o,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,To Do,03/Jul/24 11:23 AM
Build DFC Model,CTET-3796,79942,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,03/Jul/24 11:23 AM,09/Jul/24 2:16 PM,09/Jul/24 2:13 PM,08/Jul/24 9:13 AM,,0,,,,,"Tolerance stack limits for input power accuracy (from Savannah) shown here:

[https://generac-my.sharepoint.com/:x:/p/ahmed_elsebaay/EVA1jZz9QxJGvrCDrsbPZwQBydNO3B-TJPRv39JVdnvydA?email=Zack.Goyetche%40generac.com&e=If4ThO&wdLOR=cB524DB03-1B5B-5A4A-BE03-5E09DAE5FE3A|https://generac-my.sharepoint.com/:x:/p/ahmed_elsebaay/EVA1jZz9QxJGvrCDrsbPZwQBydNO3B-TJPRv39JVdnvydA?email=Zack.Goyetche%40generac.com&e=If4ThO&wdLOR=cB524DB03-1B5B-5A4A-BE03-5E09DAE5FE3A|smart-link] ",,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d82c11f,0.0,,,,,,,,,,,,,,Checklist: 0/4,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3794,Run design for capability analysis on Manta's grid input power accuracy test,,,,,,0.0,,,,,,,,,,,,,2|i0709x:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_424193156,,,,,79940,Run design for capability analysis on Manta's grid input power accuracy test,Done,09/Jul/24 1:04 PM
Install E-Stop on enclosure,CTET-3792,79938,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,dan.saft,712020:7f94a73c-76ef-4e49-955f-0610691041b5,Austin Roberts,712020:0cd5a597-b525-4e90-900c-0d9acb2763cf,Austin Roberts,712020:0cd5a597-b525-4e90-900c-0d9acb2763cf,03/Jul/24 11:02 AM,05/Jul/24 10:42 AM,09/Jul/24 3:47 PM,05/Jul/24 10:42 AM,,0,,,,,,,Austin Roberts,,712020:0cd5a597-b525-4e90-900c-0d9acb2763cf,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3fa4fdad,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i0701v:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_171598758_*|*_10001_*:*_1_*:*_0,,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,05/Jul/24 10:42 AM
Test Procedure and ALC Test Support ,CTET-3791,79937,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,03/Jul/24 10:49 AM,08/Jul/24 11:51 AM,09/Jul/24 3:47 PM,08/Jul/24 11:51 AM,10/Jul/24 12:00 AM,0,NPI1B,,,,,,aaron.zetley,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3fa366f2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i0709t:,,,,,5.0,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_435709730,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,In Progress,08/Jul/24 11:51 AM
Safety Sync for Lab with Wesley,CTET-3790,79934,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,03/Jul/24 9:37 AM,08/Jul/24 9:09 AM,09/Jul/24 3:47 PM,08/Jul/24 9:09 AM,,0,,,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d04d89a,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06trx:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_430326569_*|*_10001_*:*_1_*:*_0,,,,,,,Done,08/Jul/24 9:09 AM
Reno Voltron 5 ton Local Test Support ,CTET-3789,79933,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,03/Jul/24 9:19 AM,03/Jul/24 9:19 AM,09/Jul/24 3:47 PM,,09/Jul/24 12:00 AM,0,Voltron,,,,,,aaron.zetley,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d93bdea,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,0.0,,,,,,,,,,,,,2|i0701l:,,,,,3.0,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,03/Jul/24 9:19 AM
Update BM FW RC Issue Summary in Confluence,CTET-3786,79930,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,03/Jul/24 9:11 AM,09/Jul/24 2:38 PM,09/Jul/24 3:47 PM,08/Jul/24 7:13 AM,,0,,,,,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fb64c8f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06zv5:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_424866895,,,,,,,Done,09/Jul/24 2:38 PM
