Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
Move testercircuits into configuration file,CTET-4887,81846,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,26/Aug/24 1:14 PM,28/Aug/24 9:09 AM,28/Aug/24 2:50 PM,28/Aug/24 9:09 AM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@259fd29a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077m6:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_158120456_*|*_10000_*:*_1_*:*_7564_*|*_10001_*:*_1_*:*_0,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",Done,28/Aug/24 9:09 AM
Export Xray Test Procedures,CTET-4884,81835,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,26/Aug/24 12:10 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,Need hard copy of all test procedures ,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f422f28,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i07acx:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,In Progress,26/Aug/24 12:11 PM
Timeline and workflow for Manta ICT ,CTET-4808,81756,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,26/Aug/24 10:29 AM,28/Aug/24 11:24 AM,28/Aug/24 2:50 PM,28/Aug/24 11:24 AM,,0,,,,,Soham Dange,,712020:2b67478a-d210-4a0a-bf27-2e926436841b,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@697c6d74,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4347,Test spec defined [MANTA-ICT],,,,,,,,,,,,,,,,,,,,,,,2|i079kd:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_84402366_*|*_10000_*:*_1_*:*_91700550_*|*_10001_*:*_1_*:*_0,,80898,Test spec defined [MANTA-ICT],Done,28/Aug/24 11:24 AM
Voltron Reno Support and Plan ,CTET-4807,81751,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,26/Aug/24 9:36 AM,28/Aug/24 1:46 PM,28/Aug/24 2:50 PM,28/Aug/24 1:46 PM,28/Aug/24 12:00 AM,0,Voltron,,,,aaron.zetley,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64d216b4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i079u9:,,,,,3.0,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_5817_*|*_10000_*:*_1_*:*_187844489_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,28/Aug/24 1:46 PM
Supporting new RC Testing,CTET-4806,81750,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,26/Aug/24 9:34 AM,26/Aug/24 11:11 AM,28/Aug/24 2:50 PM,26/Aug/24 9:34 AM,,0,,,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@791be91a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i079u1:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_16476_*|*_10001_*:*_1_*:*_0,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,26/Aug/24 9:34 AM
ADC Snapshot to Orcan/integration,CTET-4805,81748,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,26/Aug/24 9:27 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,aaron.zetley,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2da8ce9,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2992,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i079tt:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78293,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,In Progress,28/Aug/24 1:46 PM
ALP Tester Debug and Support for Board Level Testing,CTET-4804,81747,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,26/Aug/24 9:27 AM,28/Aug/24 1:46 PM,28/Aug/24 2:50 PM,28/Aug/24 1:46 PM,,0,,,,,aaron.zetley,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@590a952a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2992,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i079tl:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_188363533_*|*_10001_*:*_1_*:*_0,,78293,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,Done,28/Aug/24 1:46 PM
Optimize ALP Test Procedure for Reduced Cycle Time,CTET-4803,81743,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,26/Aug/24 8:17 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f9703ab,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2992,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i079sx:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,78293,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,In Progress,26/Aug/24 8:20 AM
Wire Alligator clips to Inductors for ALP,CTET-4802,81742,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,26/Aug/24 8:11 AM,26/Aug/24 8:20 AM,28/Aug/24 2:50 PM,26/Aug/24 8:20 AM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5769cb7a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2992,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i079sp:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_577755_*|*_10001_*:*_1_*:*_0,,78293,24-Q2-KR5.4: ALP PCBA Tester Built & Tested,Done,26/Aug/24 8:20 AM
Ship 5 Penguin Units,CTET-4801,81741,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,26/Aug/24 8:10 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,26/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e24a38b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i079sh:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,To Do,26/Aug/24 8:10 AM
CLS Onsite support,CTET-4800,81740,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,26/Aug/24 8:09 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@611db693,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i079s9:,,,,,16.0,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,In Progress,26/Aug/24 8:20 AM
voltron support,CTET-4799,81727,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,23/Aug/24 3:08 PM,23/Aug/24 3:09 PM,28/Aug/24 2:50 PM,23/Aug/24 3:09 PM,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ab7785d,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077mf:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_12500_*|*_10001_*:*_1_*:*_0,,,,Done,23/Aug/24 3:09 PM
Order NI equipment for Voltron2,CTET-4798,81719,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,23/Aug/24 11:03 AM,23/Aug/24 11:05 AM,28/Aug/24 2:50 PM,23/Aug/24 11:05 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2637d8cc,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077rw:4,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_106866_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,23/Aug/24 11:05 AM
Order Verivolts for Voltron2,CTET-4797,81718,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,23/Aug/24 11:03 AM,23/Aug/24 11:05 AM,28/Aug/24 2:50 PM,23/Aug/24 11:05 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@699067b1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077rw:9,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_113315_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,23/Aug/24 11:05 AM
Order Chromas for Voltron2,CTET-4796,81717,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,23/Aug/24 11:03 AM,23/Aug/24 11:05 AM,28/Aug/24 2:50 PM,23/Aug/24 11:05 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@525087f5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077rw:i,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_119518_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,23/Aug/24 11:05 AM
Order RLC Load for Voltron2,CTET-4795,81716,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,23/Aug/24 11:03 AM,23/Aug/24 11:05 AM,28/Aug/24 2:50 PM,23/Aug/24 11:05 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3819706a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i077rw:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_126097_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,23/Aug/24 11:05 AM
Update design w/ design improvements,CTET-4794,81702,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,23/Aug/24 9:11 AM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Jon Thomas,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40fdb1eb,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i079m9:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,To Do,23/Aug/24 9:11 AM
Support EOL Tester,CTET-4793,81699,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,22/Aug/24 5:16 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Ian Gills,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@57730378,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-1739,24Q1-KR1.2: Commission SDS functional tester,,,,,,,,,,,,,,,,,,,,,,,2|i0780o:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,73932,24Q1-KR1.2: Commission SDS functional tester,To Do,22/Aug/24 5:16 PM
Support Voltron Build,CTET-4792,81698,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,22/Aug/24 5:15 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Ian Gills,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fcc96e0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-1745,24Q1-KR2.1: Bring Voltron to life,,,,,,,,,,,,,,,,,,,,,,,2|i0780n:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,73938,24Q1-KR2.1: Bring Voltron to life,To Do,22/Aug/24 5:15 PM
Fill out Goals,CTET-4791,81697,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,22/Aug/24 5:15 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Ian Gills,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7293161b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0780l:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,To Do,22/Aug/24 5:15 PM
