Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (CTET custom link),Outward issue link (CTET custom link),Outward issue link (CTET custom link),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Depend),Outward issue link (Depend),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Revision),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Manta 9 - bed of nails quote,CTET-3742,79843,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,28/Jun/24 9:19 AM,08/Jul/24 9:01 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Jon Thomas,,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@542d7e8a,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06zg9:,,,,,,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,To Do,28/Jun/24 9:19 AM
Machine shop - create CNC cost justification,CTET-3741,79842,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,28/Jun/24 9:18 AM,28/Jun/24 1:55 PM,10/Jul/24 8:44 AM,28/Jun/24 1:55 PM,,0,,,,,,,Jon Thomas,,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,28/Jun/24 1:55 PM;712020:cdffb633-796d-417e-9c44-667e697189ff;Reno Table CNC - Cost Justification.pdf;https://neurio.atlassian.net/rest/api/3/attachment/content/51199,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7bbd4cc9,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06zg1:,,,,,,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_16604314_*|*_10001_*:*_1_*:*_0,28/Jun/24 1:55 PM;712020:cdffb633-796d-417e-9c44-667e697189ff;submitted for review on 6/28,,,,,,Done,28/Jun/24 1:55 PM
Manta PCBA Nest - Assemble and Install Base to Cabinet,CTET-3740,79841,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,28/Jun/24 9:18 AM,03/Jul/24 8:48 AM,10/Jul/24 8:44 AM,01/Jul/24 9:54 AM,,0,,,,,,,Jon Thomas,,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f45259b,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06x80:zx,,,,,,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_261360052,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,03/Jul/24 8:48 AM
Manta PCBA Nest - Install Cover,CTET-3739,79840,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,28/Jun/24 9:17 AM,09/Jul/24 10:31 PM,10/Jul/24 8:44 AM,09/Jul/24 10:31 PM,,0,,,,,,,Jon Thomas,,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e191295,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06qnd:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_998023983,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,09/Jul/24 10:31 PM
Manta PCBA Nest - Print Cover,CTET-3738,79839,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,28/Jun/24 9:17 AM,09/Jul/24 10:31 PM,10/Jul/24 8:44 AM,09/Jul/24 10:31 PM,,0,,,,,,,Jon Thomas,,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3c77e9d7,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06qnc:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_998035599_*|*_10001_*:*_1_*:*_0,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,09/Jul/24 10:31 PM
Manta PCBA Nest - Design Cover,CTET-3737,79838,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,28/Jun/24 9:17 AM,09/Jul/24 10:31 PM,10/Jul/24 8:44 AM,01/Jul/24 9:53 AM,,0,,,,,,,Jon Thomas,,,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d426133,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06qnb:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_261416636,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,09/Jul/24 10:31 PM
Implement pv gen control hack to support 0.9.5 manta fw,CTET-3736,79831,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,27/Jun/24 1:08 PM,03/Jul/24 11:21 AM,10/Jul/24 8:44 AM,27/Jun/24 1:08 PM,,0,,,,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b0aa6b1,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2997,24-Q2-KR2.1: SDS Tester Uses Only CAN Communication,,,,,,0.0,,,,,,,,,,,,,2|hzzgka:zzti,,,,,,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_4027,,,,,78298,24-Q2-KR2.1: SDS Tester Uses Only CAN Communication,In Progress,27/Jun/24 1:08 PM
Troubleshoot pengiun 24VDC load test,CTET-3735,79826,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,27/Jun/24 12:02 PM,02/Jul/24 5:04 PM,10/Jul/24 8:44 AM,28/Jun/24 8:40 AM,,0,,,,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@76f81c1b,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i06ylc:zm,,,,,,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_74255062,,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,02/Jul/24 5:04 PM
del3,CTET-3733,79824,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,27/Jun/24 12:00 PM,27/Jun/24 12:00 PM,09/Jul/24 3:46 PM,27/Jun/24 12:00 PM,,0,,,,,,,Mazin Almaqablah,,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@699985f2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06zch:,,,,,,,,,,,,,,,Test Sprint,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_35611_*|*_10001_*:*_1_*:*_0,,,,,,,Done,27/Jun/24 12:00 PM
Trial and Integrate new Enable/Enable Manuel format into SW EOL Tester framework ,CTET-3730,79819,Task,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,27/Jun/24 11:41 AM,03/Jul/24 9:49 AM,10/Jul/24 8:44 AM,,04/Jul/24 12:00 AM,0,1.10FW,EOL_INV_SW,NPI1B,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ee90d8,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i06zip:,,,,,5.0,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,2.0,,,,,,,02/Jul/24 4:32 PM;712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4;Waiting for 1.10 on hold ,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",In Progress,02/Jul/24 12:55 PM
Manuelly Testing 1.10 on Voltron Tester to Support Debug and understand new enabling nature,CTET-3729,79818,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,27/Jun/24 11:35 AM,28/Jun/24 7:58 AM,27/Jun/24 12:59 PM,27/Jun/24 11:35 AM,28/Jun/24 12:00 AM,0,EOL_INV_SW,NPI1B,R2-Inverter,Voltron,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23ecacb,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i06x80:yi,,,,,3.0,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_5297,,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,28/Jun/24 7:58 AM
Setup of Temperature Test to be powered on with only 24V power ( so fully low voltage test) ,CTET-3728,79817,Task,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,27/Jun/24 11:34 AM,10/Jul/24 8:41 AM,10/Jul/24 8:44 AM,08/Jul/24 11:51 AM,31/Jul/24 12:00 AM,0,EOL_INV_SW,NPI1B,R2-Inverter,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41a32c32,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3002,24-Q2-KR3.2: Inverter Production Code Merged to Main,,,,,,0.0,,,,,,,,,,,,,2|i06zzl:,,,,,2.0,,,,,,,,,,CTET 070324,CTET 71024,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_951436030,,,,,78303,24-Q2-KR3.2: Inverter Production Code Merged to Main,In Progress,08/Jul/24 11:51 AM
Troubleshoot lost communication to chromas following xnet installation,CTET-3727,79812,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,27/Jun/24 8:53 AM,27/Jun/24 9:21 AM,10/Jul/24 8:44 AM,27/Jun/24 8:53 AM,,0,,,,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16a52ad9,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2997,24-Q2-KR2.1: SDS Tester Uses Only CAN Communication,,,,,,0.0,,,,,,,,,,,,,2|i06ylb:i,,,,,,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_3563,,,,,78298,24-Q2-KR2.1: SDS Tester Uses Only CAN Communication,Done,27/Jun/24 9:21 AM
Technician Support Tasks for Waukesha,CTET-3726,79811,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,27/Jun/24 7:49 AM,08/Jul/24 12:37 PM,10/Jul/24 8:44 AM,,,0,,,,,"Reconfigure Roof Array TC-16 to have 3 ACcPV arrays combined.
Check wiring, fix ACcPV Cart rear side


Remove SDS from wall in TC-16 to add knockouts. 

Label all wiring across different test set ups ",,Joe.Wardwell,,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@451a95e2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06za1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,To Do,27/Jun/24 7:50 AM
Tester Build Shadowing,CTET-3725,79806,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,26/Jun/24 3:57 PM,10/Jul/24 8:41 AM,26/Jun/24 3:57 PM,08/Jul/24 4:35 PM,,0,,,,,,,Mazin Almaqablah,,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c38733f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i070gl:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,CTET 71024,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,2.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_1039098042,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",In Progress,08/Jul/24 4:35 PM
Look into MQTT communication,CTET-3724,79805,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Chris Zamora,712020:4699bb68-5508-46dc-b636-cb217bf4188c,Chris Zamora,712020:4699bb68-5508-46dc-b636-cb217bf4188c,Chris Zamora,712020:4699bb68-5508-46dc-b636-cb217bf4188c,26/Jun/24 3:45 PM,10/Jul/24 8:41 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Chris Zamora,,,712020:4699bb68-5508-46dc-b636-cb217bf4188c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58ee16c,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,0.0,,,,,,,,,,,,,2|i06z8p:,,,,,,,,,,,,,,,CTET 62624,CTET 070324,CTET 71024,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,To Do,26/Jun/24 3:45 PM
CTET Swimlanes,CTET-3723,79804,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,26/Jun/24 3:44 PM,08/Jul/24 9:13 AM,09/Jul/24 8:30 AM,08/Jul/24 9:12 AM,,0,,,,,,,Mazin Almaqablah,,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,,,,08/Jul/24 9:13 AM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;CTET Project Workflow.pdf;https://neurio.atlassian.net/rest/api/3/attachment/content/51235,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51fdcf39,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06z8o:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_1013249215_*|*_10001_*:*_1_*:*_0,08/Jul/24 9:12 AM;712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174;First draft complete,,,,,,Done,08/Jul/24 9:12 AM
Script for Sprint Analysis,CTET-3722,79803,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,26/Jun/24 3:43 PM,03/Jul/24 8:54 AM,26/Jun/24 3:43 PM,03/Jul/24 8:54 AM,,0,,,,,,,Mazin Almaqablah,,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@758d1168,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i06z89:,,,,,,,,,,,,,,,CTET 62624,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_580268838_*|*_10001_*:*_1_*:*_0,,,,,,,Done,03/Jul/24 8:54 AM
