Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Defect),Outward issue link (Defect),Outward issue link (Defect),Attachment,Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
BMU NPI1A unit BIC replacement + flashing + testing + code improvements,CTET-5133,82348,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,10/Sep/24 9:15 AM,10/Sep/24 9:15 AM,11/Sep/24 9:36 AM,10/Sep/24 9:15 AM,,0,,,,Zeren Zhang,,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1175c406,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,0.0,,,,,,,,,,,,,2|i07brf:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_16737_*|*_10001_*:*_1_*:*_0,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,10/Sep/24 9:15 AM
Remove steps from bic procedure that are not supported by the current firmware,CTET-5132,82347,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,10/Sep/24 9:12 AM,11/Sep/24 4:21 AM,11/Sep/24 9:36 AM,,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71bdea27,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cma:,,,,,,,,,,,,,,,,,,,,,CTET 90424,CTET 91124,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,In Progress,10/Sep/24 9:12 AM
Copy BIC test procedure and pair it down for just BIP test,CTET-5131,82346,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,10/Sep/24 9:11 AM,10/Sep/24 9:11 AM,11/Sep/24 9:36 AM,10/Sep/24 9:11 AM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a4f7199,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07993:t,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_16355_*|*_10001_*:*_1_*:*_0,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,Done,10/Sep/24 9:11 AM
Create CAN Adapter for RJ45 Connection,CTET-5130,82345,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,10/Sep/24 8:41 AM,11/Sep/24 9:11 AM,11/Sep/24 9:36 AM,,,0,,"

!image-20240910-154140.png|width=1238,height=1098,alt=""image-20240910-154140.png""!



!image-20240910-165910.png|width=747,height=327,alt=""image-20240910-165910.png""!",,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,10/Sep/24 8:42 AM;ug:2668c83c-e528-408a-9a1d-2b375e3940a8;LCC301 Assembly Cables.pptx;https://neurio.atlassian.net/rest/api/3/attachment/content/51728,10/Sep/24 8:42 AM;ug:2668c83c-e528-408a-9a1d-2b375e3940a8;image-20240910-154140.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51727,10/Sep/24 9:59 AM;ug:2668c83c-e528-408a-9a1d-2b375e3940a8;image-20240910-165910.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51729,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@529c4fd9,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i075xp:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,3.0,,,,,,,,,,,,,To Do,10/Sep/24 8:41 AM
add significant detail to system validation plan,CTET-5125,82340,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,10/Sep/24 8:13 AM,10/Sep/24 7:26 PM,11/Sep/24 9:36 AM,10/Sep/24 7:26 PM,,0,,,,Joe.Wardwell,,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@57b7459a,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07937:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_40302917_*|*_10000_*:*_1_*:*_64340_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Sep/24 7:26 PM
Troubleshoot failed board 2024-09-09,CTET-5124,82339,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,10/Sep/24 8:10 AM,10/Sep/24 8:10 AM,11/Sep/24 9:36 AM,10/Sep/24 8:10 AM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53613113,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cmf:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_13449_*|*_10001_*:*_1_*:*_0,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,10/Sep/24 8:10 AM
PXIe linux kernel upgrade/downgrade ansible script + testing,CTET-5119,82329,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,09/Sep/24 9:29 AM,10/Sep/24 9:15 AM,11/Sep/24 9:36 AM,10/Sep/24 9:14 AM,,0,,,,Zeren Zhang,,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@36153376,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07bs8:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_85487954_*|*_10001_*:*_1_*:*_0,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Sep/24 9:14 AM
troubleshoot batt_comms,CTET-5118,82328,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,09/Sep/24 8:59 AM,09/Sep/24 11:43 AM,11/Sep/24 9:36 AM,09/Sep/24 11:43 AM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ef9e2e3,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cm7:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_9844429_*|*_10000_*:*_1_*:*_15587_*|*_10001_*:*_1_*:*_0,,,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,Done,09/Sep/24 11:43 AM
troubleshoot manual test procedure for writing serial number and part number,CTET-5117,82327,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,09/Sep/24 8:35 AM,10/Sep/24 9:11 AM,11/Sep/24 9:36 AM,10/Sep/24 8:09 AM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47c65b80,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07993:v,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_84816434_*|*_10000_*:*_1_*:*_4347_*|*_10001_*:*_1_*:*_0,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,Done,10/Sep/24 8:09 AM
create manual test procedure for writing serial number and part number,CTET-5116,82326,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,09/Sep/24 8:35 AM,09/Sep/24 8:35 AM,11/Sep/24 9:36 AM,09/Sep/24 8:35 AM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40fbf013,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07993:r,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_14068_*|*_10001_*:*_1_*:*_0,,,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,Done,09/Sep/24 8:35 AM
Rewire Load Panel Specifically HVAC in TC-16,CTET-5115,82316,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,06/Sep/24 2:14 PM,07/Sep/24 6:13 PM,11/Sep/24 9:36 AM,07/Sep/24 6:13 PM,,0,,,,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4594ce0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07c80:9,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_100746374_*|*_10001_*:*_1_*:*_0,,,,,,,Done,07/Sep/24 6:13 PM
G1 PWR Micro FCT Board Level Test Review,CTET-5114,82315,Story,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,06/Sep/24 2:06 PM,10/Sep/24 9:46 PM,11/Sep/24 9:36 AM,10/Sep/24 9:46 PM,,0,,"*Background*

*Background:*
* We have a scrappy fixture that Jon's team made
* We need to make a more robust production ready fixture that is automated - a solution that can help us test 75,000 units next year
* What are the requirements that they are looking for
** Connectors or pogo pins? 
G1 is in Arena and we have part numbers on it
*Requirements:*
# Programming MCU​
* Via pogo pins - no connector for this
* We need the touch points 
* Standard J-tag emulator 
* Do this at PCBA functional only - Not at EOL
# Voltages monitoring and recording​ 
* We can do this using veri volts 
* Does not make sense to use a weco for this setup —> too expensive ($100k)  and > 6 months lead time
* EOL (both)
# Calibration​ 
* Monitor the voltages and currents using veri volts
* All the data will be recorded
* Do this at PCBA functional only - Not at EOL
# Efficiency sweep​
* Monitor the voltages and currents using veri volts
* All the data will be recorded
* Do this at PCBA functional only - Not at EOL
# Power measurement must be done with below 0.05% accuracy. Appropriate devices must be used.​
* Targeting a 1.0 meter class - At nominal ratings we will guarantee 1% error
* Monitor the voltages and currents using veri volts
* All the data will be recorded
* EOL (both)
# IR temperature measurements.​ *_This will not be included in our design_*
* This might be something that is required for design validation rather than M-test EOL
* We don’t generally do IR temperature measurements on EOL 
* We can log all the thermistor temperatures that are on the PCBA at both
# Galvanically isolated – must​
* Agreed —> All measurements will be galvanically isolated
* EOL (both)
# UART interface to MCU​ - PCBA functional tester
* Via pogo pins - no connector for this
* We need the touch points 
* Standard J-tag emulator 
* Do this at PCBA functional only - Not at EOL
# Sub minute operation – test speed must be optimized to finish within a minute, including 2 programming.
* What is driving this sub minute request?
* Calibration will take 2 minutes at least 
* Our current test on R2 takes around 20 minutes —> This will be similar initially
* Quick turn it will be about 20 minutes —> Optimization and scaling will take more time
* After lots of optimization work we can likely get it down to ~5 minutes —> This would require significant engineering effort 
* EOL (both)
*Mechanical:*
* 4 weeks from design lock (whenever the board is locked) - this can happen in parallel with electrical 
* First rev will be manual. We won’t need to deal with plugging in harnesses, etc. 
* 6 weeks for an automated solution 
*Next Steps:*
Get CAD for lastest version.
Mechanical Concept Review
Timeline review. Define due dates.
Create RFQ Package for Fixture
*Action Item:*
We need the design spec
We need the spec document
Need to have someone dedicated to Micro inverter 
Can we have a design review on the PWR Micro Fixture?  @Jon Thomas
What is going on with PWR Micro from a timeline standpoint? —> What are the need dates? - @Jan Sudra
We need another kickoff after we get the test spec and design spec from Jenia --> We should be getting those tomorrow - @Jan Sudra

*Timeline*

Timeline: November 15th is the deadline for testers to be prepared, allowing approximately 8 weeks for preparation.
Specifically, we will need 2x PCBA Fixtures (1 for Production, 1 for Compliance) and 1x EOL Fixture. The EOL Fixture should include side connectors, while the PCBA Fixture should have side access. Manual placement and clamping for PCBA are acceptable as long as the process takes approximately 10 seconds or less.
For the NPI 1 Build, we anticipate producing 1,000 units from November to February.
In July, production will commence with an initial volume of 30,000 units, continuing throughout the remainder of the year.
To meet the project requirements, we aim to design and construct 2 PCBA fixtures and 1 EOL fixture by November 8th.
Design and Build 2 PCBA fixture and 1 EOL fixture by 11/8
Ensure fixtures have side connectors for EOL and side access for PCBA
Address the need for fixtures: 2x PCBA (1 for Production, 1 for Compliance) and 1x EOL

*Generated by AI. Be sure to check for accuracy.*

* *Automation Process Ownership:* The team confirmed that Arland would be responsible for automating the transcription process into Confluence, ensuring the integration is seamless and efficient.
* *Timeline Coordination:* The discussion included coordinating timelines for the automation process, with a focus on ensuring that the testers are ready by the specified date, November 15. The team emphasized the importance of meeting this deadline to align with the project's overall schedule.
* *Technical Discussion:* The team delved into technical specifics regarding PLC communications, with a focus on finding a module to communicate with PLC comms directly, avoiding the use of a gateway. Omkar suggested avoiding the gateway due to its complexities and potential to slow down processes.
** *PLC Communication Challenges:* The team explored the complexities of PLC communications, discussing the need for a direct communication module to streamline processes. The conversation highlighted the challenges of using a gateway, including potential delays and the added complexity it introduces to the system.
** *Gateway Avoidance Rationale:* Omkar advocated for avoiding the use of a gateway in PLC communications, citing its nuances and the potential for slowing down testing procedures, especially those requiring rapid execution.
** *Alternative Solutions Exploration:* The team considered alternative solutions to the gateway, such as using an off-the-shelf PLC comms module that could translate data more efficiently and align with the project's technical requirements.
* *Testing and Development:* Alex and Omkar discussed the need for testers by November 15, emphasizing the importance of manual placement in testing procedures and considering building in-house solutions to meet timelines.
** *Testers Deadline and Importance:* The team underscored the critical deadline for having testers ready by November 15, with Alex and Omkar discussing the significance of manual placement in the testing process to ensure accuracy and efficiency.
** *In-House Solution Consideration:* Given the tight timeline, the team contemplated building in-house testing solutions to ensure they meet the November 15 deadline. This approach would allow for greater control over the testing process and potentially expedite the development of necessary testing apparatus.
** *Fixture Design and Build:* Alex proposed designing and building a simple manual fixture to validate the testing process, aiming for a conservative four-week timeline to accommodate other priorities and workload constraints.
* *Production Volume and Timeline:* The team outlined the production volume and timeline, aiming to build 1,000 units by February and 30,000 units starting July, with a weekly rate of 7,000 units.
* *Communication and Documentation:* The team discussed the use of Teams, Slack, and Confluence for communication and documentation, highlighting the need for access to PLC communication documentation and API for further development.
** *PLC Documentation Access:* Access to PLC communication documentation and API was highlighted as a critical need for the team, emphasizing the importance of having detailed technical information available for further development and integration efforts.
Follow-up tasks:
* *PLC Communication:* Investigate and provide a solution for PLC communication issues. (Marcus)
* *Test Fixture Design:* Design and build a simple manual test fixture for PCBA. (Alex)
* *Firmware Development:* Coordinate with the firmware team to finalize the PLC communication protocol. (Eric)
* *Unit Allocation:* Discuss unit allocations for the test team with Ethan. (John)
* *Documentation Access:* Share links to source code documentation and schematics with Eric. (John)",,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@393be827,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5152,PWRMicro - PCBA FCT (Develop Test Fixture),,,,,,,,,,0.0,,,,,,,,,,,,,2|i07crd:,,,,,,,,,,,,,,,,,,,,,CTET 90424,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_17292337_*|*_10000_*:*_1_*:*_355863392_*|*_10001_*:*_2_*:*_3336,,,,,82381,PWRMicro - PCBA FCT (Develop Test Fixture),Done,10/Sep/24 9:46 PM
